vectorize_input,vectorize_output,threadIdx.x,blockIdx.x,cost(ms)
4,2,16,384,3.015624
4,2,32,192,1.708104
4,2,64,96,0.79532
4,2,128,48,0.572464
4,2,512,12,0.567632
4,2,1024,6,0.978928
4,4,16,192,1.7296
4,4,32,96,0.898304
4,4,64,48,0.547592
4,4,128,24,0.565112
4,4,512,6,0.670544
4,4,1024,3,1.231488
4,8,16,96,1.923104
4,8,32,48,1.041016
4,8,64,24,0.980096
4,8,128,12,0.9777919999999999
4,8,512,3,2.061608
